广告投放报表(2018-06-01至2018-06-13),,,,,,,,,
日期,投放,投放ID,投放,订单,显示数,点击数,(%)点击率,唯一显示数,唯一点击数
2018-06-13,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2489,0,0,2201,0
2018-06-13,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2423,0,0,2141,0
2018-06-13,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2702,0,0,2232,0
2018-06-13,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2009,0,0,1708,0
2018-06-13,MOBILE-MPU2,606693,,BJ-18-027,89888,98,0.11,77070,96
2018-06-13,MOBILE-顶通,606692,,BJ-18-027,69964,42,0.06,61789,41
2018-06-13,MOBILE-顶通-补投,606694,,BJ-18-027,147625,93,0.06,129714,87
2018-06-13,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3719,0,0,3211,0
2018-06-13,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3716,0,0,3131,0
2018-06-13,Paid post test,606775,,offshore-test,2,0,0,1,0
2018-06-13,Paid-post Ticker,606777,,SH-18-009,79342,629,0.79,56993,606
2018-06-13,hide-story-底通,606767,,BJ-18-032,374,0,0,269,0
2018-06-13,hp-leaderboard-offshore,605985,,offshore-test,1,0,0,1,0
2018-06-13,hp-mpu-1-offshore,605984,,offshore-test,1,0,0,1,0
2018-06-13,hp-mpu-2-offshore,605986,,offshore-test,1,0,0,1,0
2018-06-13,mobile-mpu1,606768,,BJ-18-002,109874,155,0.14,92091,128
2018-06-13,mobile-mpu2,606770,,BJ-18-002,140302,135,0.1,109852,95
2018-06-13,mobile-底部通栏,606762,,BJ-18-032,49916,14,0.03,43750,14
2018-06-13,mobile-底通,606771,,BJ-18-002,359645,255,0.07,243314,108
2018-06-13,mobile-顶通,606769,,BJ-18-002,159810,141,0.09,132143,115
2018-06-13,mobile-顶通-补投,606772,,BJ-18-002,146686,125,0.09,128995,93
2018-06-13,mobile-全屏-3,606613,,BJ-18-026,0,1,0,0,1
2018-06-13,mobile-信息流,606691,,BJ-18-002,99877,195,0.2,73140,160
2018-06-13,mobile-专题mpu,606753,,BJ-18-032,395,0,0,360,0
2018-06-13,mobile-专题顶部通栏,606752,,BJ-18-032,1226,1,0.08,808,1
2018-06-13,pc-hp-全屏,606758,,BJ-18-032,77451,398,0.51,56448,391
2018-06-13,pc-ros-半幅画中画2,606760,,BJ-18-032,24982,14,0.06,16890,12
2018-06-13,pc-ros-底部通栏,606761,,BJ-18-032,49945,13,0.03,28441,12
2018-06-13,pc-专题-半幅画中画1,606745,,BJ-18-032,469,1,0.21,344,1
2018-06-13,pc-专题-顶部大通栏,606742,,BJ-18-032,469,5,1.07,344,5
2018-06-13,pc-专题banner,606765,,BJ-18-032,19328,9,0.05,12653,7
2018-06-13,pc-专题置换-底部通栏-,606749,,BJ-18-032,14980,9,0.06,11478,9
2018-06-13,pc-专题置换-画中画2,606750,,BJ-18-032,9982,7,0.07,8433,7
2018-06-13,pc-专题置换-画中画3,606751,,BJ-18-032,19976,10,0.05,12349,10
2018-06-13,ribbon-t,606779,,SH-18-009,122632,35,0.03,83719,33
2018-06-13,ros-banner,606536,,上海测试_1121,1,0,0,1,0
2018-06-13,打底广告-textlink3-招聘_FT中文网-市场_Text_Link_3,606200,,打底广告-textlink3-招聘,127851,58,0.05,88106,58
2018-06-13,每日英语-通栏三,606759,,FT每日英语-通栏三,39758,14,0.04,32517,14
2018-06-13,清科空间,606773,,清科空间,39736,6,0.02,32631,6
2018-06-12,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2490,0,0,2249,0
2018-06-12,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2424,0,0,2212,0
2018-06-12,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2699,0,0,2187,0
2018-06-12,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2010,0,0,1638,0
2018-06-12,HP_MPU1,605992,,上海测试_1121,1,0,0,1,0
2018-06-12,HP_leaderboard,605991,,上海测试_1121,1,0,0,1,0
2018-06-12,MOBILE-MPU2,606693,,BJ-18-027,89948,58,0.06,77574,58
2018-06-12,MOBILE-顶通,606692,,BJ-18-027,69953,67,0.1,61023,66
2018-06-12,MOBILE-顶通-补投,606694,,BJ-18-027,133928,125,0.09,117003,120
2018-06-12,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3719,0,0,3262,0
2018-06-12,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3719,0,0,3257,0
2018-06-12,Paid post test,606775,,offshore-test,24,4,16.67,6,4
2018-06-12,hide-story-底通,606767,,BJ-18-032,1118,0,0,779,0
2018-06-12,hp banner,606533,,上海测试_1121,1,0,0,1,0
2018-06-12,hp mpu3,606534,,上海测试_1121,1,0,0,1,0
2018-06-12,mobile-mpu1,606768,,BJ-18-002,109905,137,0.12,91414,122
2018-06-12,mobile-mpu2,606770,,BJ-18-002,209902,217,0.1,169726,153
2018-06-12,mobile-底部通栏,606762,,BJ-18-032,59913,25,0.04,51588,25
2018-06-12,mobile-底通,606771,,BJ-18-002,345096,203,0.06,233614,93
2018-06-12,mobile-顶通,606769,,BJ-18-002,159923,138,0.09,130190,94
2018-06-12,mobile-顶通-补投,606772,,BJ-18-002,133190,153,0.11,116415,112
2018-06-12,mobile-信息流,606691,,BJ-18-002,99864,205,0.21,73563,174
2018-06-12,mobile-专题mpu,606753,,BJ-18-032,1472,5,0.34,1158,4
2018-06-12,mobile-专题顶部通栏,606752,,BJ-18-032,2923,1,0.03,1831,1
2018-06-12,pc-ribbon,606763,,BJ-18-032,0,3,0,0,3
2018-06-12,pc-ros-半幅画中画2,606760,,BJ-18-032,24969,13,0.05,17695,13
2018-06-12,pc-ros-底部通栏,606761,,BJ-18-032,49934,16,0.03,29855,16
2018-06-12,pc-专题-半幅画中画1,606745,,BJ-18-032,1278,3,0.23,884,3
2018-06-12,pc-专题-顶部大通栏,606742,,BJ-18-032,1289,7,0.54,899,6
2018-06-12,pc-专题banner,606765,,BJ-18-032,19327,13,0.07,13994,13
2018-06-12,pc-专题置换-底部通栏-,606749,,BJ-18-032,14984,11,0.07,11747,11
2018-06-12,pc-专题置换-画中画2,606750,,BJ-18-032,19953,16,0.08,15562,13
2018-06-12,pc-专题置换-画中画3,606751,,BJ-18-032,39971,39,0.1,21504,36
2018-06-12,ribbon ad,606778,,offshore-test,3909,1,0.03,3452,1
2018-06-12,打底广告-textlink3-招聘_FT中文网-市场_Text_Link_3,606200,,打底广告-textlink3-招聘,139909,72,0.05,93906,68
2018-06-12,每日英语-通栏三,606759,,FT每日英语-通栏三,43537,8,0.02,34865,8
2018-06-12,清科空间,606773,,清科空间,43514,24,0.06,34862,20
2018-06-11,BD - 埃森哲论坛 会员中心_FT中文网-市场_next_event_1,606679,,BD - 埃森哲论坛 会员中心,0,1,0,0,1
2018-06-11,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2491,0,0,2253,0
2018-06-11,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2424,0,0,2194,0
2018-06-11,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2700,0,0,2183,0
2018-06-11,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2008,0,0,1668,0
2018-06-11,MOBILE-MPU2,606693,,BJ-18-027,62164,51,0.08,54348,48
2018-06-11,MOBILE-顶通,606692,,BJ-18-027,69987,56,0.08,61003,53
2018-06-11,MOBILE-顶通-补投,606694,,BJ-18-027,82363,59,0.07,74695,58
2018-06-11,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3716,0,0,3283,0
2018-06-11,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3717,0,0,3238,0
2018-06-11,hide-story-mpu2,606764,,BJ-18-032,105,0,0,37,0
2018-06-11,hide-story-mpu3,606766,,BJ-18-032,104,0,0,36,0
2018-06-11,hide-story-底通,606767,,BJ-18-032,2023,0,0,1238,0
2018-06-11,mobile-mpu1,606768,,BJ-18-002,119950,137,0.11,97842,128
2018-06-11,mobile-mpu2,606770,,BJ-18-002,145706,141,0.1,120588,127
2018-06-11,mobile-底部通栏,606762,,BJ-18-032,49976,17,0.03,43011,15
2018-06-11,mobile-底通,606771,,BJ-18-002,359880,127,0.04,244135,109
2018-06-11,mobile-顶通,606769,,BJ-18-002,159954,134,0.08,130620,114
2018-06-11,mobile-顶通-补投,606772,,BJ-18-002,84363,95,0.11,76393,80
2018-06-11,mobile-信息流,606691,,BJ-18-002,85137,186,0.22,61976,149
2018-06-11,mobile-专题mpu,606753,,BJ-18-032,9461,17,0.18,7189,17
2018-06-11,mobile-专题顶部通栏,606752,,BJ-18-032,12966,28,0.22,9132,27
2018-06-11,pc-ribbon,606763,,BJ-18-032,143927,59,0.04,93768,54
2018-06-11,pc-ros-半幅画中画2,606760,,BJ-18-032,24991,21,0.08,16804,18
2018-06-11,pc-ros-底部通栏,606761,,BJ-18-032,49969,13,0.03,29068,12
2018-06-11,pc-专题-半幅画中画1,606745,,BJ-18-032,3788,9,0.24,2236,9
2018-06-11,pc-专题-顶部大通栏,606742,,BJ-18-032,2335,8,0.34,1446,8
2018-06-11,pc-专题banner,606765,,BJ-18-032,19341,16,0.08,12938,14
2018-06-11,pc-专题置换-底部通栏-,606749,,BJ-18-032,14996,7,0.05,11315,7
2018-06-11,pc-专题置换-画中画2,606750,,BJ-18-032,9993,13,0.13,8154,13
2018-06-11,pc-专题置换-画中画3,606751,,BJ-18-032,5871,5,0.09,4771,5
2018-06-11,打底广告-textlink3-招聘_FT中文网-市场_Text_Link_3,606200,,打底广告-textlink3-招聘,133970,59,0.04,89343,57
2018-06-11,每日英语-通栏三,606759,,FT每日英语-通栏三,61064,14,0.02,45414,14
2018-06-11,清科空间,606773,,清科空间,24301,1,0,20486,1
2018-06-10,BD - 埃森哲论坛_FT中文网-市场_Text_Link_3,606660,,BD - 埃森哲论坛,0,1,0,0,1
2018-06-10,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,0,1,0,0,1
2018-06-10,BD-高端视点第四期_FT中文网-市场_Text_Link_2,606605,,BD-高端视点第四期,0,1,0,0,1
2018-06-10,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2492,0,0,2002,0
2018-06-10,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2426,0,0,1958,0
2018-06-10,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2702,0,0,1456,0
2018-06-10,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2010,0,0,1113,0
2018-06-10,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3719,0,0,2846,0
2018-06-10,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,2817,0
2018-06-10,hide-story-mpu2,606764,,BJ-18-032,1,0,0,1,0
2018-06-10,hide-story-mpu3,606766,,BJ-18-032,1,0,0,1,0
2018-06-10,mobile-全屏-3,606613,,BJ-18-026,0,1,0,0,1
2018-06-10,mobile-信息流,606576,,BJ-17-058-part 2,0,1,0,0,1
2018-06-10,mobile-专题mpu,606753,,BJ-18-032,4,0,0,4,0
2018-06-10,mobile-专题顶部通栏,606752,,BJ-18-032,86,0,0,74,0
2018-06-10,pc-专题-半幅画中画1,606745,,BJ-18-032,3,0,0,2,0
2018-06-10,pc-专题-顶部大通栏,606742,,BJ-18-032,2,0,0,2,0
2018-06-10,打底广告-textlink3-招聘_FT中文网-市场_Text_Link_3,606200,,打底广告-textlink3-招聘,70173,28,0.04,53290,25
2018-06-10,每日英语-通栏三,606759,,FT每日英语-通栏三,36114,6,0.02,28953,6
2018-06-09,BD - 埃森哲论坛 会员中心_FT中文网-市场_next_event_1,606679,,BD - 埃森哲论坛 会员中心,0,1,0,0,1
2018-06-09,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,73991,13,0.02,55336,12
2018-06-09,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2493,0,0,2124,0
2018-06-09,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2426,0,0,2086,0
2018-06-09,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2702,0,0,1525,0
2018-06-09,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2010,0,0,1286,0
2018-06-09,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3720,0,0,3053,0
2018-06-09,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,3031,0
2018-06-09,hide-story-mpu2,606764,,BJ-18-032,5,0,0,5,0
2018-06-09,hide-story-mpu3,606766,,BJ-18-032,5,0,0,5,0
2018-06-09,hide-story-底通,606767,,BJ-18-032,4,0,0,4,0
2018-06-09,mobile-顶通-补投,606677,,BJ-18-030,0,1,0,0,1
2018-06-09,mobile-全屏-3,606613,,BJ-18-026,0,2,0,0,2
2018-06-09,mobile-信息流,606673,,BJ-18-030,0,1,0,0,1
2018-06-09,mobile-专题mpu,606753,,BJ-18-032,9,0,0,8,0
2018-06-09,mobile-专题顶部通栏,606752,,BJ-18-032,62,0,0,57,0
2018-06-09,pc-专题-半幅画中画1,606745,,BJ-18-032,13,0,0,11,0
2018-06-09,pc-专题-顶部大通栏,606742,,BJ-18-032,12,2,16.67,10,2
2018-06-09,每日英语-通栏三,606759,,FT每日英语-通栏三,37726,4,0.01,29961,4
2018-06-08,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,121201,24,0.02,84115,23
2018-06-08,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2491,0,0,2309,0
2018-06-08,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2423,0,0,2240,0
2018-06-08,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2700,0,0,2120,0
2018-06-08,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2009,0,0,1663,0
2018-06-08,MOBILE-MPU2,606693,,BJ-18-027,89906,72,0.08,75033,70
2018-06-08,MOBILE-顶通,606692,,BJ-18-027,69802,57,0.08,59899,55
2018-06-08,MOBILE-顶通-补投,606694,,BJ-18-027,330384,255,0.08,269010,241
2018-06-08,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3715,0,0,3310,0
2018-06-08,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3714,0,0,3343,0
2018-06-08,hide-story-mpu2,606764,,BJ-18-032,38,0,0,7,0
2018-06-08,hide-story-mpu3,606766,,BJ-18-032,12,0,0,6,0
2018-06-08,hide-story-底通,606767,,BJ-18-032,16,0,0,7,0
2018-06-08,mobile-顶通-补投,606651,,BJ-18-026,0,1,0,0,1
2018-06-08,mobile-画中画2,606617,,BJ-18-021,0,1,0,0,1
2018-06-08,mobile-信息流,606576,,BJ-17-058-part 2,0,2,0,0,2
2018-06-08,mobile-专题mpu,606753,,BJ-18-032,1,0,0,1,0
2018-06-08,mobile-专题顶部通栏,606752,,BJ-18-032,20,0,0,17,0
2018-06-08,pc-专题-半幅画中画1,606745,,BJ-18-032,90,2,2.22,14,1
2018-06-08,pc-专题-顶部大通栏,606742,,BJ-18-032,89,5,5.62,12,1
2018-06-08,每日英语-通栏三,606759,,FT每日英语-通栏三,47791,8,0.02,37035,8
2018-06-07,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,123112,23,0.02,86185,22
2018-06-07,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2490,0,0,2243,0
2018-06-07,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2424,0,0,2168,0
2018-06-07,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2701,0,0,2115,0
2018-06-07,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2009,0,0,1646,0
2018-06-07,MOBILE-MPU2,606693,,BJ-18-027,89950,91,0.1,75021,91
2018-06-07,MOBILE-顶通,606692,,BJ-18-027,69959,61,0.09,59930,59
2018-06-07,MOBILE-顶通-补投,606694,,BJ-18-027,258682,184,0.07,212975,177
2018-06-07,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3718,0,0,3253,0
2018-06-07,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3718,0,0,3290,0
2018-06-07,mobile-全屏-3,606613,,BJ-18-026,0,3,0,0,3
2018-06-07,mobile-信息流,606673,,BJ-18-030,0,1,0,0,1
2018-06-06,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,125734,19,0.02,86618,19
2018-06-06,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2491,0,0,2276,0
2018-06-06,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2424,0,0,2219,0
2018-06-06,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2700,0,0,2120,0
2018-06-06,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2010,0,0,1655,0
2018-06-06,HP_MPU1,605992,,上海测试_1121,1,0,0,1,0
2018-06-06,HP_leaderboard,605991,,上海测试_1121,1,0,0,1,0
2018-06-06,MOBILE-MPU2,606693,,BJ-18-027,89948,79,0.09,74770,77
2018-06-06,MOBILE-顶通,606692,,BJ-18-027,69959,49,0.07,59970,48
2018-06-06,MOBILE-顶通-补投,606694,,BJ-18-027,219648,155,0.07,181032,145
2018-06-06,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3718,0,0,3297,0
2018-06-06,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3716,0,0,3303,0
2018-06-06,event2,606587,,电商-财经词汇,0,1,0,0,1
2018-06-06,hp banner,606533,,上海测试_1121,1,0,0,1,0
2018-06-06,hp mpu3,606534,,上海测试_1121,1,0,0,1,0
2018-06-06,mobile-底通,606675,,BJ-18-030,59934,22,0.04,50291,21
2018-06-06,mobile-顶通,606674,,BJ-18-030,49964,3,0.01,43827,3
2018-06-06,mobile-顶通-补投,606651,,BJ-18-026,0,1,0,0,1
2018-06-06,mobile-顶通-补投,606677,,BJ-18-030,219841,177,0.08,181323,158
2018-06-06,mobile-全屏-3,606613,,BJ-18-026,0,2,0,0,2
2018-06-06,mobile-信息流,606673,,BJ-18-030,29985,245,0.82,25758,231
2018-06-05,Article page_MPU1,606078,,上海测试_1121,13,0,0,3,0
2018-06-05,Article page_leaderboard,606077,,上海测试_1121,13,0,0,2,0
2018-06-05,BD - 埃森哲论坛 会员中心_FT中文网-市场_next_event_1,606679,,BD - 埃森哲论坛 会员中心,0,1,0,0,1
2018-06-05,BD - 葡萄酒大师班_FT中文网-市场_Text_Link_2,606649,,BD - 葡萄酒大师班,0,1,0,0,1
2018-06-05,BD - 西门子首席财务官4.0_FT中文网-市场_Text_Link_3,606729,,BD - 西门子首席财务官4.0,128240,25,0.02,89032,24
2018-06-05,C-Suite Targeting_MPU_1_300*250,606635,,O-18-008,2492,0,0,2366,0
2018-06-05,C-suite Section Targeting_MPU_1_300*600,606636,,O-18-008,2425,0,0,2298,0
2018-06-05,Global Economy Section Targeting_MPU_1_300*250,606633,,O-18-008,2701,0,0,2154,0
2018-06-05,Global Economy Section _MPU_1_300*600,606634,,O-18-008,2008,0,0,1628,0
2018-06-05,MOBILE-MPU2,606693,,BJ-18-027,119917,116,0.1,99090,112
2018-06-05,MOBILE-顶通,606692,,BJ-18-027,69927,50,0.07,60753,49
2018-06-05,MOBILE-顶通-补投,606694,,BJ-18-027,261193,174,0.07,216478,153
2018-06-05,Management Section Targeting_MPU_1_300*250,606619,,O-18-008,3718,0,0,3442,0
2018-06-05,Management Section Targeting_MPU_1_300*600,606618,,O-18-008,3720,0,0,3408,0
2018-06-05,hp-leaderboard-offshore,605985,,offshore-test,14,0,0,4,0
